
--- Initializing Active Sweep Run on Target Device: cuda ---
Loading pretrained SlowFast R50 from Torch Hub...
Using cache found in C:\Users\omoni/.cache\torch\hub\facebookresearch_pytorchvideo_main
Indexing train set...
Safely indexed 3319 action points in train split.
Indexing valid set...
Safely indexed 985 action points in valid split.
Epoch 0 | Batch 565/830 | Loss: 3.1660
Epoch 0 | Batch 570/830 | Loss: 2.0338
Epoch 0 | Batch 575/830 | Loss: 2.7294
Epoch 0 | Batch 580/830 | Loss: 2.7470
Epoch 0 | Batch 585/830 | Loss: 1.9892
Epoch 0 | Batch 590/830 | Loss: 2.0103
Epoch 0 | Batch 595/830 | Loss: 1.5755
Epoch 0 | Batch 600/830 | Loss: 2.4786
Epoch 0 | Batch 605/830 | Loss: 2.2713
Epoch 0 | Batch 610/830 | Loss: 2.0511
Epoch 0 | Batch 615/830 | Loss: 2.0670
Epoch 0 | Batch 620/830 | Loss: 2.9673
Epoch 0 | Batch 625/830 | Loss: 2.2186
Epoch 0 | Batch 630/830 | Loss: 2.2261
Epoch 0 | Batch 635/830 | Loss: 1.9433
Epoch 0 | Batch 640/830 | Loss: 1.7752
Epoch 0 | Batch 645/830 | Loss: 1.9656
Epoch 0 | Batch 650/830 | Loss: 2.5498
Epoch 0 | Batch 655/830 | Loss: 2.1299
Epoch 0 | Batch 660/830 | Loss: 1.4865
Epoch 0 | Batch 665/830 | Loss: 2.7808
Epoch 0 | Batch 670/830 | Loss: 2.5080
Epoch 0 | Batch 675/830 | Loss: 1.9451
Epoch 0 | Batch 680/830 | Loss: 2.7043
Epoch 0 | Batch 685/830 | Loss: 2.4538
Epoch 0 | Batch 690/830 | Loss: 2.7915
Epoch 0 | Batch 695/830 | Loss: 1.6216
Epoch 0 | Batch 700/830 | Loss: 1.4381
Epoch 0 | Batch 705/830 | Loss: 1.4859
Epoch 0 | Batch 710/830 | Loss: 2.4033
Epoch 0 | Batch 715/830 | Loss: 2.4110
Epoch 0 | Batch 720/830 | Loss: 2.2770
Epoch 0 | Batch 725/830 | Loss: 1.8971
Epoch 0 | Batch 730/830 | Loss: 2.9038
Epoch 0 | Batch 735/830 | Loss: 2.0162
Epoch 0 | Batch 740/830 | Loss: 2.5840
Epoch 0 | Batch 745/830 | Loss: 2.6996
Epoch 0 | Batch 750/830 | Loss: 2.3169
Epoch 0 | Batch 755/830 | Loss: 1.9567
Epoch 0 | Batch 760/830 | Loss: 2.9904
Epoch 0 | Batch 765/830 | Loss: 1.6555
Epoch 0 | Batch 770/830 | Loss: 2.1712
Epoch 0 | Batch 775/830 | Loss: 2.5097
Epoch 0 | Batch 780/830 | Loss: 2.3079
Epoch 0 | Batch 785/830 | Loss: 2.0832
Epoch 0 | Batch 790/830 | Loss: 2.4429
Epoch 0 | Batch 795/830 | Loss: 1.5767
Epoch 0 | Batch 800/830 | Loss: 2.0490
Epoch 0 | Batch 805/830 | Loss: 2.9514
Epoch 0 | Batch 810/830 | Loss: 1.9150
Epoch 0 | Batch 815/830 | Loss: 2.3624
Epoch 0 | Batch 820/830 | Loss: 3.0407
Epoch 0 | Batch 825/830 | Loss: 1.8118
--- Epoch 0 Complete | Val Loss: 2.2602 | Val Accuracy: 27.82% ---
Epoch 1 | Batch 0/830 | Loss: 2.7059
Epoch 1 | Batch 5/830 | Loss: 1.5549
Epoch 1 | Batch 10/830 | Loss: 2.5785
Epoch 1 | Batch 15/830 | Loss: 1.4909
Epoch 1 | Batch 20/830 | Loss: 2.1873
Epoch 1 | Batch 25/830 | Loss: 1.6610
Epoch 1 | Batch 30/830 | Loss: 2.0914
Epoch 1 | Batch 35/830 | Loss: 1.7934
Epoch 1 | Batch 40/830 | Loss: 1.7549
Epoch 1 | Batch 45/830 | Loss: 1.5897
Epoch 1 | Batch 50/830 | Loss: 2.2006
Epoch 1 | Batch 55/830 | Loss: 2.1797
Epoch 1 | Batch 60/830 | Loss: 2.2556
Epoch 1 | Batch 65/830 | Loss: 2.4880
Epoch 1 | Batch 70/830 | Loss: 2.4778
Epoch 1 | Batch 75/830 | Loss: 1.5877
Epoch 1 | Batch 80/830 | Loss: 2.9156
Epoch 1 | Batch 85/830 | Loss: 2.6089
Epoch 1 | Batch 90/830 | Loss: 2.9149
Epoch 1 | Batch 95/830 | Loss: 1.9882
Epoch 1 | Batch 100/830 | Loss: 2.6324
Epoch 1 | Batch 105/830 | Loss: 2.4804
Epoch 1 | Batch 110/830 | Loss: 1.9287
Epoch 1 | Batch 115/830 | Loss: 2.0991
Epoch 1 | Batch 120/830 | Loss: 2.7291
Epoch 1 | Batch 125/830 | Loss: 3.8032
Epoch 1 | Batch 130/830 | Loss: 2.3369
Epoch 1 | Batch 135/830 | Loss: 2.3743
Epoch 1 | Batch 140/830 | Loss: 1.4123
Epoch 1 | Batch 145/830 | Loss: 2.4854
Epoch 1 | Batch 150/830 | Loss: 2.6731
Epoch 1 | Batch 155/830 | Loss: 2.3224
Epoch 1 | Batch 160/830 | Loss: 1.2285
Epoch 1 | Batch 165/830 | Loss: 2.7468
Epoch 1 | Batch 170/830 | Loss: 2.6237
Epoch 1 | Batch 175/830 | Loss: 1.5668
Epoch 1 | Batch 180/830 | Loss: 2.7746
Epoch 1 | Batch 185/830 | Loss: 2.9301
Epoch 1 | Batch 190/830 | Loss: 2.8461
Epoch 1 | Batch 195/830 | Loss: 1.7592
Epoch 1 | Batch 200/830 | Loss: 2.2464
Epoch 1 | Batch 205/830 | Loss: 2.2808
Epoch 1 | Batch 210/830 | Loss: 2.1264
Epoch 1 | Batch 215/830 | Loss: 1.8689
Epoch 1 | Batch 220/830 | Loss: 2.1810
Epoch 1 | Batch 225/830 | Loss: 2.4348
Epoch 1 | Batch 230/830 | Loss: 1.9137
Epoch 1 | Batch 235/830 | Loss: 2.0304
Epoch 1 | Batch 240/830 | Loss: 2.4438
Epoch 1 | Batch 245/830 | Loss: 2.5104
Epoch 1 | Batch 250/830 | Loss: 2.0011
Epoch 1 | Batch 255/830 | Loss: 2.1028
Epoch 1 | Batch 260/830 | Loss: 2.0670
Epoch 1 | Batch 265/830 | Loss: 1.6356
Epoch 1 | Batch 270/830 | Loss: 2.1359
Epoch 1 | Batch 275/830 | Loss: 1.8793
Epoch 1 | Batch 280/830 | Loss: 1.3333
Epoch 1 | Batch 285/830 | Loss: 1.9978
Epoch 1 | Batch 290/830 | Loss: 2.4247
Epoch 1 | Batch 295/830 | Loss: 1.8754
Epoch 1 | Batch 300/830 | Loss: 2.1101
Epoch 1 | Batch 305/830 | Loss: 2.1690
Epoch 1 | Batch 310/830 | Loss: 2.0378
Epoch 1 | Batch 315/830 | Loss: 1.7122
Epoch 1 | Batch 320/830 | Loss: 1.5546
Epoch 1 | Batch 325/830 | Loss: 2.5999
Epoch 1 | Batch 330/830 | Loss: 2.9471
Epoch 1 | Batch 335/830 | Loss: 1.3726
Epoch 1 | Batch 340/830 | Loss: 1.6505
Epoch 1 | Batch 345/830 | Loss: 2.2381
Epoch 1 | Batch 350/830 | Loss: 2.7599
